trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
76,False,"{'a': 0.5, 'e': 0.7694675284702986}",20,15,-1.5643393637654155,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.7496111392215288}",35,0,-159.70755694364763,"{0: 27, 1: 2, 2: 1, 3: 1, 4: 4}",0
78,False,"{'a': 0.5, 'e': 0.7305135510263716}",30,0,-42.88113949546812,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.7121365877975395}",25,8,-43.69718016886239,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 1}",1
80,False,"{'a': 0.5, 'e': 0.6944444444444444}",25,0,-46.59828941819335,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.6774035123372116}",25,0,-9.48435712940265,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.6609822195782934}",20,3,-25.2700240215441,"{0: 14, 1: 0, 2: 1, 3: 2, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.6451508846631507}",20,0,-79.02789637631031,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.6298815822625345}",20,2,-121.39812894579093,"{0: 12, 1: 0, 2: 2, 3: 2, 4: 2}",1
85,False,"{'a': 0.5, 'e': 0.6151480199923107}",30,19,-4.940666206627782,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.6009254251547382}",20,0,-128.87628658963735,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
87,False,"{'a': 0.5, 'e': 0.5871904405396281}",25,0,-124.7029244049654,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.5739210284664832}",25,16,-46.853230378987234,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
89,False,"{'a': 0.5, 'e': 0.561096382331075}",20,0,-49.487064188911745,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.5486968449931414}",20,0,0.35232038708887714,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.5367038334071301}",30,0,-31.4763700656314,"{0: 22, 1: 4, 2: 3, 3: 1, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.5250997689561018}",20,2,-15.123247497552036,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.5138680130008607}",25,0,-49.78966434735471,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.5029928072028571}",35,9,-48.43751539233786,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 1}",1
95,False,"{'a': 0.5, 'e': 0.49245921822099104}",20,5,-65.36039279523835,"{0: 12, 1: 0, 2: 0, 3: 2, 4: 1}",1
